anchor,representative,loss,rho,dataset,n_seeds,ndcg_at_5_mean,ndcg_at_5_std,recall_at_1_mean,recall_at_1_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,flip_rate_mean,flip_rate_std,reversal_rate_mean,reversal_rate_std,margin_abs_err_mean,margin_abs_err_std,score_abs_err_mean,score_abs_err_std,pos_score_abs_err_mean,pos_score_abs_err_std,ms_per_doc_mean,ms_per_doc_std,peak_mem_mb_mean,peak_mem_mb_std
coverage,response_centroid,none,0.1,flickr,3,0.8911,0.0,0.81,0.0,0.9533,0.0,0.9767,0.0,0.0022,0.0,0.0019,0.0,0.7961,0.0,0.9937,0.0,1.621,0.0,98.6877,0.2535,37.8,0.0
coverage,response_centroid,none,0.1,infovqa,3,0.8905,0.0,0.8333,0.0,0.94,0.0,0.96,0.0,0.0095,0.0,0.0085,0.0,1.2966,0.0,1.1437,0.0,2.2472,0.0,1265.8283,2.4782,2869.7,0.0
coverage,response_centroid,none,0.1,tabfquad,3,0.9219,0.0,0.8571,0.0,0.9881,0.0,1.0,0.0,0.0089,0.0,0.0077,0.0,1.1641,0.0,1.3941,0.0,2.4295,0.0,517.0403,7.7219,97.7,0.0
coverage,response_centroid,none,0.1,tatdqa,3,0.8762,0.0,0.7912,0.0,0.9438,0.0,0.9618,0.0,0.0101,0.0,0.0064,0.0,1.0797,0.0,1.1326,0.0,1.9761,0.0,1843.546,4.5679,1146.1,0.0
coverage,uniform_centroid,none,0.05,arxivqa,3,0.9282,0.0,0.8867,0.0,0.96,0.0,0.98,0.0,0.0037,0.0,0.0018,0.0,0.6869,0.0,1.9692,0.0,2.1056,0.0,1189.2183,5.8186,412.3667,0.0471
coverage,uniform_centroid,none,0.05,docvqa,3,0.6617,0.0,0.5933,0.0,0.7267,0.0,0.78,0.0,0.0962,0.0,0.0549,0.0,0.7403,0.0,0.8188,0.0,1.3145,0.0,1615.375,4.5869,2844.9,0.0
coverage,uniform_centroid,none,0.05,flickr,3,0.8127,0.0,0.7,0.0,0.9067,0.0,0.96,0.0,0.007,0.0,0.0066,0.0,1.1202,0.0,2.2794,0.0,3.1032,0.0,68.5457,0.2881,36.2,0.0
coverage,uniform_centroid,none,0.05,infovqa,3,0.8845,0.0,0.8333,0.0,0.9267,0.0,0.9533,0.0,0.012,0.0,0.0113,0.0,1.0506,0.0,1.7801,0.0,2.486,0.0,1169.3787,16.9925,2858.1,0.0
coverage,uniform_centroid,none,0.05,tabfquad,3,0.9057,0.0,0.8452,0.0,0.9524,0.0,0.9881,0.0,0.0143,0.0,0.0137,0.0,1.0922,0.0,2.5185,0.0,3.2453,0.0,419.082,3.4058,97.3333,0.4714
coverage,uniform_centroid,none,0.05,tatdqa,3,0.886,0.0,0.8092,0.0,0.9458,0.0,0.9639,0.0,0.0106,0.0,0.0052,0.0,0.8076,0.0,1.744,0.0,2.2999,0.0,1819.3547,92.1158,1142.3,0.0
